Input Dimension,Count
10x10,201
3x3,157
9x9,62
5x5,43
12x12,33
15x15,32
7x7,31
11x11,30
13x13,28
6x6,27
20x20,26
8x8,25
16x16,20
21x21,16
5x7,15
30x30,13
9x4,12
3x4,11
14x14,11
3x11,11
18x18,10
4x4,10
23x23,10
3x6,10
17x17,9
4x14,9
6x3,8
12x11,8
12x14,8
19x19,7
24x24,6
15x17,6
3x5,6
29x29,6
10x8,6
10x15,6
15x16,6
16x18,6
8x9,5
5x6,5
14x12,5
13x16,5
10x12,5
15x14,5
27x27,5
9x3,5
7x9,5
10x4,5
12x13,5
4x7,5
1x5,5
11x12,4
2x2,4
9x13,4
13x5,4
5x10,4
6x7,4
17x18,4
18x19,4
14x15,4
13x15,4
4x3,4
10x9,4
7x8,4
20x10,4
10x11,4
8x4,4
10x3,3
13x14,3
1x6,3
16x17,3
15x19,3
15x10,3
5x15,3
6x9,3
3x2,3
14x10,3
3x7,3
8x7,3
7x13,3
7x6,3
3x10,3
11x13,3
9x11,3
2x6,3
12x18,2
13x17,2
4x20,2
3x9,2
19x17,2
14x9,2
9x10,2
16x14,2
3x12,2
3x14,2
13x18,2
5x4,2
6x4,2
22x25,2
12x16,2
17x5,2
17x14,2
15x13,2
3x13,2
10x2,2
17x12,2
17x16,2
12x19,2
10x16,2
16x12,2
22x22,2
11x9,2
21x22,2
15x18,2
14x16,2
6x10,2
5x11,2
5x3,2
14x18,2
18x15,2
8x10,2
3x15,2
9x8,2
13x12,2
6x11,2
4x8,2
6x2,2
20x30,1
11x19,1
16x11,1
3x30,1
17x9,1
18x16,1
4x12,1
8x30,1
8x20,1
9x12,1
12x9,1
23x21,1
9x6,1
15x12,1
24x8,1
22x9,1
11x10,1
10x25,1
7x23,1
2x4,1
2x20,1
30x20,1
19x22,1
18x21,1
20x21,1
20x19,1
4x6,1
19x8,1
18x13,1
11x16,1
6x8,1
12x8,1
24x21,1
23x17,1
18x22,1
4x2,1
14x19,1
3x18,1
27x25,1
27x21,1
11x22,1
13x20,1
21x24,1
13x22,1
10x5,1
9x7,1
7x11,1
13x7,1
4x16,1
20x22,1
2x3,1
22x23,1
24x23,1
20x24,1
10x18,1
7x5,1
5x8,1
24x19,1
27x23,1
17x23,1
14x13,1
12x10,1
8x3,1
1x10,1
1x8,1
8x6,1
11x24,1
12x3,1
10x13,1
10x7,1
19x12,1
28x28,1
16x10,1
8x12,1
19x9,1
26x26,1
7x4,1
17x15,1
5x9,1
14x11,1
12x6,1
8x11,1
4x5,1
17x13,1
16x15,1
16x19,1
3x17,1
11x20,1
30x17,1
19x21,1
19x13,1
23x27,1
4x17,1
13x10,1
