Dimension,Count,Keys
10x10,201,"00d62c1b, 11852cab, 1b60fb0c, 1bfc4729, 1caeab9d, 1f642eb9, 1f876c06, 2013d3e2, 2204b7a8, 22168020, 22233c11, 2281f1f4, 228f6490, 22eb0ac0, 23b5c85d, 28e73c20, 2bcee788, 2bee17df, 2dd70a9a, 31aa019c, 321b1fc6, 3906de3d, 3befdf3e, 444801d8, 445eab21, 46f33fce, 48d8fb45, 4938f0c2, 56ff96f3, 5c0a986e, 63613498, 681b3aeb, 694f12f3, 6c434453, 6e19193c, 6e82a1ae, 72ca375d, 7ddcd7ec, 8403a5d5, 85c4e7cd, 868de0fa, 8d510a79, 941d9a10, 952a094c, 95990924, a3325580, a48eeaf7, a699fb00, a78176bb, af902bf9, b230c067, b527c5c6, b6afb2da, bb43febb, cdecee7f, d22278a0, d2abd087, d364b489, d43fd935, d4f3cd78, d5d6de2d, d6ad076f, d89b689b, d9f24cd1, db93a21d, dc433765, ddf7fa4f, ded97339, e40b9e2f, e48d4e1a, e5062a87, e50d258f, e76a88a6, e8593010, e9614598, ea32f347, ef135b50, f8c80d96, fcc82909"
3x3,157,"007bbfb7, 0d3d703e, 253bf280, 25d8a9c8, 25ff71a9, 27a28665, 3bd67248, 3c9b0459, 44f52bb0, 4522001f, 46442a0e, 49d1d64f, 5582e5ca, 6150a2bd, 62c24649, 67385a82, 67e8384a, 6d0aefbc, 6e02f1e3, 6f8cd79b, 6fa7a44f, 746b3537, 74dd1130, 794b24be, 7fe24cdd, 834ec97d, 8be77c9e, 91413438, 9172f3a0, 9565186b, 99fa7670, 9af7a82c, 9dfd6313, a416b8f3, a5f85a15, a79310a0, a85d4709, ac0a08a4, aedd82e4, b8cdaf2b, b91ae062, beb8660c, c3e719e8, c59eb873, c9e6f938, cce03e0d, d037b0a7, d13f3404, d23f8c26, d511f180, d631b094, d90796e8, dc433765, ea786f4a, ed36ccf7, f5b8619d, f76d97a5, ff28f65a"
9x9,62,"08ed6ac7, 0ca9ddb6, 178fcbfb, 1f0c79e5, 1fad071e, 23581191, 3f7978a0, 4258a5f9, 47c1f68c, 5614dbcf, 5bd6f4ac, 60b61512, 7c008303, 810b9b61, 834ec97d, 88a10436, 8f2ea7aa, a1570a43, a61f2674, a68b268e, aba27056, ae4f1146, b0c4d837, b60334d2, ce22a75a, ce9e57f2, ec883f72, f25fbde4"
5x5,43,"1e0a9b12, 239be575, 2dc579da, 3618c87e, 469497ad, 539a4f51, 54d82841, 68b16354, 834ec97d, 88a62173, 9dfd6313, a699fb00, a79310a0, b8cdaf2b, d23f8c26, d4469b4b, d511f180, dc1df850, dc433765, ea786f4a, f76d97a5, f9012d9b, ff28f65a"
12x12,33,"0962bcdd, 1cf80156, 25d487eb, 2bee17df, 44d8ac46, 4c5c2cf0, 508bd3b6, 5daaa586, 85c4e7cd, 8e1813be, 913fb3ed, a5313dff, c0f76784, c9f8e694, d0f5fe59, d22278a0, d687bc17, dbc1a6ce, ec883f72, f15e1fac, f8ff0b80"
15x15,32,"1190e5a7, 28e73c20, 2dd70a9a, 3bd67248, 41e4d17e, 543a7ed5, 5521c0d9, 623ea044, 6855a6e4, 810b9b61, 868de0fa, 95990924, 9aec4887, 9edfc990, a2fd1cf0, ae3edfdc, d07ae81c, d5d6de2d, db93a21d, f8a8fe49"
7x7,31,"05269061, 2dc579da, 3aa6fb7a, 3bd67248, 3de23699, 47c1f68c, 5168d44c, 623ea044, 67a3c6ac, 68b16354, 7f4411dc, a1570a43, a65b410d, a740d043, aabf363d, aba27056, b0c4d837, b8cdaf2b, d22278a0, d90796e8, dc433765, ea786f4a, f9012d9b, ff28f65a"
11x11,30,"09629e4f, 1190e5a7, 137eaa0f, 29623171, 2dc579da, 47c1f68c, 6773b310, 6d0160f0, 868de0fa, 9f236235, b548a754, caa06a1f, dc433765, e98196ab"
13x13,28,"28e73c20, 36d67576, 3e980e27, 4612dd53, 5117e062, 7f4411dc, 846bdb03, 9edfc990, a61ba2ce, ba97ae07, d06dbe63, d22278a0, ecdecbb3, f8b3ba0a, fcb5c309"
6x6,27,"00d62c1b, 1e0a9b12, 239be575, 28e73c20, 67a3c6ac, 67a423a3, 77fdfe62, 85c4e7cd, 913fb3ed, 93b581b8, 99fa7670, a5f85a15, aba27056, b0c4d837, bda2d7a6, bdad9b1f, caa06a1f, d10ecb37, ec883f72, f5b8619d, ff28f65a"
