Output Dimension,Count
3x3,190
10x10,181
9x9,60
4x4,56
6x6,49
5x5,41
15x15,35
1x1,32
7x7,30
12x12,29
20x20,25
8x8,20
2x2,19
11x11,19
3x6,16
13x13,16
16x16,15
5x3,13
21x21,12
3x1,11
30x30,11
23x23,10
6x8,9
18x18,8
3x11,8
4x3,8
6x3,8
3x2,8
3x5,8
10x4,8
17x17,7
14x14,7
6x4,7
6x5,6
12x11,6
12x14,6
10x8,6
5x6,5
14x12,5
5x11,5
19x19,5
7x8,5
15x14,5
4x8,5
8x9,5
4x6,4
15x16,4
10x15,4
10x11,4
7x9,4
15x17,4
9x13,4
6x9,4
5x4,4
29x29,4
10x12,4
14x15,3
7x6,3
2x3,3
18x19,3
3x4,3
14x10,3
5x15,3
9x4,3
15x10,3
2x4,3
1x5,3
5x7,3
10x3,3
3x10,3
15x19,3
13x14,3
20x10,3
8x7,3
1x3,3
12x13,3
13x15,3
5x10,3
9x3,3
14x9,2
11x10,2
4x1,2
17x5,2
16x18,2
15x18,2
9x6,2
14x18,2
15x12,2
7x13,2
3x9,2
8x10,2
9x11,2
9x10,2
13x12,2
13x18,2
1x4,2
13x16,2
4x5,2
9x8,2
3x14,2
3x13,2
13x17,2
2x6,2
17x12,2
10x2,2
12x19,2
8x6,2
17x16,2
10x9,2
17x14,2
17x9,2
11x12,2
4x20,2
27x27,2
6x7,2
24x24,2
17x18,2
11x13,2
3x7,1
10x25,1
7x23,1
22x9,1
24x8,1
16x14,1
10x6,1
3x8,1
13x20,1
21x22,1
11x22,1
19x8,1
20x19,1
18x13,1
11x16,1
6x11,1
16x12,1
20x30,1
20x21,1
13x7,1
20x22,1
7x11,1
4x16,1
8x20,1
30x20,1
3x30,1
2x20,1
16x11,1
8x30,1
6x10,1
9x12,1
12x18,1
18x16,1
11x19,1
10x5,1
13x22,1
24x21,1
22x25,1
3x18,1
7x5,1
5x16,1
5x12,1
5x14,1
15x13,1
12x8,1
9x14,1
5x17,1
14x13,1
3x15,1
14x19,1
10x13,1
11x24,1
10x18,1
9x2,1
10x16,1
7x4,1
10x7,1
6x2,1
8x3,1
5x1,1
17x15,1
19x12,1
19x9,1
14x11,1
1x2,1
8x11,1
3x12,1
12x16,1
19x21,1
9x17,1
19x13,1
