Dimension,Count,Keys
3x3,190,"0520fde7, 0d3d703e, 137eaa0f, 1f85a75f, 2013d3e2, 23b5c85d, 253bf280, 25d8a9c8, 25ff71a9, 2dc579da, 2dee498d, 39a8645d, 3bd67248, 3c9b0459, 3de23699, 48d8fb45, 5117e062, 5582e5ca, 5614dbcf, 5ad4f10b, 5bd6f4ac, 6150a2bd, 662c240a, 67385a82, 6773b310, 681b3aeb, 6e02f1e3, 6ecd11f4, 6f8cd79b, 74dd1130, 7837ac64, 794b24be, 7b7f7511, 834ec97d, 8e1813be, 90c28cc7, 9565186b, 995c5fa3, 99fa7670, 9dfd6313, 9ecd008a, 9f236235, a3325580, a5f85a15, a740d043, a79310a0, a85d4709, a87f7484, ae4f1146, aedd82e4, b0c4d837, b8cdaf2b, b94a9452, bc1d5164, be94b721, beb8660c, c8cbb738, cdecee7f, d037b0a7, d0f5fe59, d23f8c26, d4469b4b, d511f180, d90796e8, dae9d2b5, dc433765, e50d258f, ea786f4a, eb5a1d5d, ed36ccf7, f76d97a5, fafffa47, ff28f65a"
10x10,181,"00d62c1b, 0b148d64, 11852cab, 1b60fb0c, 1bfc4729, 1caeab9d, 1f642eb9, 1f876c06, 2204b7a8, 22168020, 22233c11, 2281f1f4, 228f6490, 22eb0ac0, 28e73c20, 2bcee788, 2bee17df, 2dd70a9a, 31aa019c, 321b1fc6, 3906de3d, 3befdf3e, 444801d8, 469497ad, 47c1f68c, 4938f0c2, 539a4f51, 53b68214, 56ff96f3, 5c0a986e, 63613498, 694f12f3, 6c434453, 6e19193c, 6e82a1ae, 7ddcd7ec, 8403a5d5, 85c4e7cd, 868de0fa, 8d510a79, 941d9a10, 952a094c, 95990924, a48eeaf7, a699fb00, a78176bb, af902bf9, b230c067, b527c5c6, b6afb2da, bb43febb, d22278a0, d2abd087, d364b489, d43fd935, d4f3cd78, d5d6de2d, d6ad076f, d89b689b, d9f24cd1, db93a21d, dc433765, ddf7fa4f, ded97339, e40b9e2f, e48d4e1a, e5062a87, e76a88a6, e8593010, e9614598, ea32f347, ef135b50, f8c80d96, fcc82909, feca6190"
9x9,60,"007bbfb7, 08ed6ac7, 0ca9ddb6, 178fcbfb, 1f0c79e5, 23581191, 4258a5f9, 4522001f, 60b61512, 80af3007, 810b9b61, 834ec97d, 88a10436, 8efcae92, 8f2ea7aa, 91413438, 9172f3a0, 97a05b5b, a1570a43, a61f2674, a8c38be5, aba27056, ac0a08a4, b190f7f5, b60334d2, b91ae062, c3e719e8, cce03e0d, ce22a75a, ce9e57f2, ec883f72"
4x4,56,"1cf80156, 1e0a9b12, 2dee498d, 3de23699, 46442a0e, 49d1d64f, 6430c8c4, 67385a82, 67a3c6ac, 67a423a3, 6ecd11f4, 75b8110e, 77fdfe62, 7b7f7511, 8e1813be, 94f9d214, 99b1bc43, 9dfd6313, 9f236235, a61ba2ce, a68b268e, aedd82e4, b94a9452, c59eb873, ce4f8723, cf98881b, d0f5fe59, f5b8619d"
6x6,49,"00d62c1b, 1e0a9b12, 28e73c20, 46442a0e, 47c1f68c, 62c24649, 67a3c6ac, 67a423a3, 67e8384a, 7c008303, 7fe24cdd, 85c4e7cd, 8e1813be, 913fb3ed, 93b581b8, 99fa7670, 9aec4887, a5f85a15, aba27056, ac0a08a4, b91ae062, bda2d7a6, bdad9b1f, c59eb873, caa06a1f, d13f3404, ec883f72, f25fbde4, f5b8619d"
5x5,41,"1e0a9b12, 2dc579da, 3618c87e, 3f7978a0, 49d1d64f, 54d82841, 68b16354, 6b9890af, 7468f01a, 834ec97d, 9aec4887, 9dfd6313, a699fb00, a79310a0, b8cdaf2b, b94a9452, c8cbb738, ce602527, d23f8c26, d511f180, dc0a314f, dc1df850, dc433765, ea786f4a, eb5a1d5d, f76d97a5, feca6190, ff805c23"
15x15,35,"28e73c20, 2dd70a9a, 3bd67248, 41e4d17e, 469497ad, 543a7ed5, 5521c0d9, 623ea044, 6855a6e4, 810b9b61, 868de0fa, 91413438, 95990924, 9edfc990, a2fd1cf0, ac0a08a4, ae3edfdc, d07ae81c, d5d6de2d, db93a21d, f8a8fe49, feca6190"
1x1,32,"239be575, 27a28665, 44f52bb0, b9b7f026, d631b094, d9fac9be, de1cd16c, f9012d9b"
7x7,30,"05269061, 3aa6fb7a, 3bd67248, 4290ef0e, 5168d44c, 623ea044, 67a3c6ac, 68b16354, 7f4411dc, 8a004b2b, a1570a43, a65b410d, aabf363d, aba27056, b8cdaf2b, c909285e, d22278a0, d90796e8, dc433765, ea786f4a, eb5a1d5d, fcb5c309"
12x12,29,"0962bcdd, 25d487eb, 2bee17df, 44d8ac46, 4c5c2cf0, 508bd3b6, 85c4e7cd, 913fb3ed, 91413438, a5313dff, b91ae062, c0f76784, c9f8e694, d22278a0, d687bc17, dbc1a6ce, ec883f72, f15e1fac, f5b8619d"
20x20,25,"00d62c1b, 06df4c85, 2dd70a9a, 469497ad, 46f33fce, 50846271, 6cf79266, 6d58a25d, 776ffc46, 868de0fa, b527c5c6, b775ac94, db93a21d"
8x8,20,"10fcaaa3, 28e73c20, 47c1f68c, 54d82841, 5daaa586, 67a423a3, 6b9890af, 85c4e7cd, 97a05b5b, a5313dff, a5f85a15, bda2d7a6, c59eb873, caa06a1f, cbded52d, dc1df850, ec883f72"
2x2,19,"23b5c85d, 2dc579da, 2dee498d, 445eab21, 72ca375d, 77fdfe62, 780d0b14, 88a62173, 90c28cc7, d0f5fe59, d10ecb37, f9012d9b"
11x11,19,"09629e4f, 29623171, 4290ef0e, 6b9890af, 6d0160f0, 868de0fa, 8a004b2b, b548a754, caa06a1f, dc433765"
3x6,16,"28bf18c6, 6d0aefbc, a416b8f3, b1948b0a, bbc9ae5d, c8f0f002, c9e6f938"
13x13,16,"28e73c20, 36d67576, 3e980e27, 4612dd53, 7f4411dc, 9edfc990, ba97ae07, d06dbe63, d22278a0, ecdecbb3"
16x16,15,"3345333e, 913fb3ed, 91714a58, 9edfc990, b190f7f5, b8825c91, c3f564a4"
5x3,13,"1b2d62fb, 1c786137, 1cf80156, 1f85a75f, 9af7a82c, a3325580, ce602527, dc433765"
21x21,12,"045e512c, 0dfd9992, 73251a56, 890034e9"
3x1,11,"4be741c5, 746b3537, a3325580, f8b3ba0a, f8ff0b80"
30x30,11,"264363fd, 3631a71a, a64e4611, b775ac94"
23x23,10,"06df4c85, 5c2c9af4, 7b6016b9, 7df24a62"
6x8,9,"10fcaaa3, 1c786137, 3af2c5a8, 82819916, 846bdb03, 8731374e, f25fbde4"
