Transition,Count
10x10 -> 10x10,171
3x3 -> 3x3,77
9x9 -> 9x9,32
15x15 -> 15x15,30
12x12 -> 12x12,26
5x5 -> 5x5,22
6x6 -> 6x6,21
7x7 -> 7x7,21
20x20 -> 20x20,21
3x3 -> 6x6,20
3x3 -> 9x9,19
13x13 -> 13x13,16
11x11 -> 11x11,16
16x16 -> 16x16,14
8x8 -> 8x8,14
3x3 -> 1x1,14
10x10 -> 3x3,14
9x9 -> 3x3,13
9x4 -> 4x4,12
21x21 -> 21x21,12
30x30 -> 30x30,11
23x23 -> 23x23,10
5x5 -> 3x3,9
11x11 -> 3x3,8
3x11 -> 3x11,8
3x3 -> 3x6,8
3x3 -> 6x3,7
18x18 -> 18x18,7
14x14 -> 14x14,7
8x8 -> 4x4,7
17x17 -> 17x17,7
7x7 -> 3x3,7
3x6 -> 3x3,6
9x9 -> 4x4,6
5x7 -> 3x3,6
12x14 -> 12x14,6
12x11 -> 12x11,6
4x4 -> 4x4,6
4x14 -> 4x4,5
10x4 -> 10x4,5
5x5 -> 2x2,5
10x8 -> 10x8,5
19x19 -> 19x19,5
14x12 -> 14x12,5
3x5 -> 3x5,5
6x3 -> 3x3,5
8x9 -> 8x9,5
9x3 -> 3x3,5
3x4 -> 6x4,5
5x7 -> 5x3,5
15x14 -> 15x14,5
4x7 -> 4x3,5
3x4 -> 6x8,4
7x8 -> 7x8,4
5x5 -> 10x10,4
10x12 -> 10x12,4
10x11 -> 10x11,4
4x14 -> 3x3,4
15x16 -> 15x16,4
13x5 -> 6x5,4
8x4 -> 4x4,4
10x15 -> 10x15,4
9x13 -> 9x13,4
9x9 -> 6x6,4
29x29 -> 29x29,4
10x10 -> 2x2,4
2x2 -> 4x4,4
11x11 -> 5x11,3
24x24 -> 5x5,3
16x16 -> 5x5,3
5x15 -> 5x15,3
6x3 -> 9x3,3
3x7 -> 3x3,3
12x12 -> 3x1,3
13x15 -> 13x15,3
12x13 -> 12x13,3
13x13 -> 3x3,3
14x15 -> 14x15,3
10x9 -> 10x4,3
18x19 -> 18x19,3
1x6 -> 3x6,3
3x2 -> 9x4,3
14x14 -> 3x3,3
15x19 -> 15x19,3
5x6 -> 5x6,3
9x9 -> 1x5,3
6x7 -> 1x1,3
15x10 -> 15x10,3
8x8 -> 3x6,3
16x16 -> 3x3,3
7x9 -> 7x9,3
13x14 -> 13x14,3
16x18 -> 9x9,3
10x3 -> 10x3,3
10x10 -> 20x20,3
8x7 -> 8x7,3
14x10 -> 14x10,3
15x17 -> 15x17,3
3x10 -> 3x10,3
6x9 -> 6x9,3
20x10 -> 20x10,3
17x12 -> 17x12,2
2x6 -> 2x6,2
12x19 -> 12x19,2
9x11 -> 9x11,2
4x4 -> 8x8,2
14x18 -> 14x18,2
3x14 -> 3x14,2
5x10 -> 5x10,2
3x4 -> 3x4,2
3x6 -> 3x6,2
3x13 -> 3x13,2
16x17 -> 1x1,2
3x11 -> 3x9,2
13x13 -> 4x4,2
19x19 -> 4x4,2
10x2 -> 10x2,2
13x18 -> 13x18,2
17x14 -> 17x14,2
3x3 -> 15x15,2
3x3 -> 12x12,2
17x18 -> 17x18,2
5x11 -> 5x11,2
7x6 -> 7x6,2
7x13 -> 7x13,2
27x27 -> 27x27,2
24x24 -> 24x24,2
6x6 -> 3x3,2
3x6 -> 9x9,2
13x16 -> 13x16,2
27x27 -> 3x3,2
6x6 -> 2x2,2
4x20 -> 4x20,2
3x3 -> 1x3,2
10x10 -> 2x4,2
5x4 -> 5x4,2
9x8 -> 9x8,2
11x13 -> 11x13,2
11x12 -> 11x12,2
13x12 -> 13x12,2
29x29 -> 3x3,2
15x18 -> 15x18,2
17x5 -> 17x5,2
1x5 -> 15x15,2
5x7 -> 5x7,2
16x18 -> 16x18,2
1x5 -> 5x5,2
17x16 -> 17x16,2
13x13 -> 3x1,2
9x10 -> 9x10,2
14x9 -> 14x9,2
11x10 -> 11x10,1
10x25 -> 10x25,1
7x23 -> 7x23,1
22x9 -> 22x9,1
24x8 -> 24x8,1
6x6 -> 12x12,1
13x16 -> 3x1,1
13x10 -> 3x1,1
4x4 -> 1x1,1
7x7 -> 2x2,1
13x13 -> 7x7,1
13x16 -> 6x7,1
15x16 -> 7x7,1
1x5 -> 10x10,1
13x7 -> 13x7,1
6x10 -> 10x10,1
5x10 -> 10x10,1
8x10 -> 10x10,1
7x11 -> 7x11,1
4x16 -> 4x16,1
6x11 -> 6x11,1
16x12 -> 16x12,1
20x24 -> 3x3,1
22x23 -> 3x3,1
24x23 -> 3x3,1
22x22 -> 15x12,1
12x12 -> 8x8,1
14x15 -> 6x9,1
18x13 -> 18x13,1
11x16 -> 11x16,1
4x6 -> 4x6,1
19x8 -> 19x8,1
20x19 -> 20x19,1
20x21 -> 20x21,1
5x5 -> 20x20,1
11x11 -> 10x10,1
9x9 -> 8x8,1
7x7 -> 6x6,1
20x30 -> 20x30,1
10x5 -> 10x5,1
2x3 -> 4x5,1
3x3 -> 5x5,1
14x16 -> 1x3,1
9x7 -> 3x1,1
11x9 -> 4x1,1
20x22 -> 20x22,1
21x22 -> 21x22,1
18x21 -> 8x8,1
19x22 -> 5x5,1
21x24 -> 11x11,1
11x22 -> 11x22,1
13x20 -> 13x20,1
27x21 -> 3x3,1
27x25 -> 3x3,1
22x22 -> 4x4,1
4x3 -> 4x3,1
13x17 -> 7x7,1
18x18 -> 7x7,1
18x18 -> 11x11,1
16x11 -> 16x11,1
12x18 -> 12x18,1
11x19 -> 11x19,1
17x9 -> 17x9,1
18x16 -> 18x16,1
5x5 -> 15x15,1
13x22 -> 13x22,1
14x19 -> 14x19,1
3x15 -> 3x15,1
3x18 -> 3x18,1
10x15 -> 4x8,1
12x16 -> 5x5,1
15x17 -> 4x6,1
3x3 -> 3x1,1
3x5 -> 1x4,1
4x2 -> 3x1,1
6x4 -> 4x1,1
20x20 -> 2x2,1
18x22 -> 2x3,1
23x17 -> 3x2,1
22x25 -> 22x25,1
24x21 -> 24x21,1
4x8 -> 4x4,1
6x2 -> 3x2,1
6x10 -> 6x10,1
6x7 -> 6x7,1
8x30 -> 8x30,1
8x20 -> 8x20,1
12x9 -> 3x5,1
12x14 -> 4x4,1
12x18 -> 4x8,1
3x30 -> 3x30,1
2x20 -> 2x20,1
9x9 -> 5x5,1
9x11 -> 5x7,1
11x13 -> 6x5,1
30x20 -> 30x20,1
12x8 -> 12x8,1
6x8 -> 6x8,1
13x13 -> 6x8,1
13x13 -> 7x8,1
13x13 -> 4x6,1
13x13 -> 5x6,1
14x13 -> 14x13,1
17x23 -> 7x6,1
27x23 -> 10x9,1
16x17 -> 6x8,1
17x17 -> 9x14,1
17x18 -> 7x7,1
16x18 -> 11x11,1
18x15 -> 6x6,1
12x10 -> 3x3,1
12x12 -> 4x4,1
20x20 -> 5x6,1
20x20 -> 9x9,1
20x20 -> 5x17,1
21x21 -> 3x3,1
21x21 -> 2x2,1
21x21 -> 3x2,1
3x3 -> 18x18,1
15x13 -> 15x13,1
5x6 -> 5x12,1
9x12 -> 9x12,1
11x11 -> 5x5,1
3x9 -> 3x3,1
4x12 -> 4x4,1
2x6 -> 2x2,1
9x6 -> 9x6,1
15x12 -> 15x12,1
5x7 -> 5x14,1
5x8 -> 5x16,1
24x19 -> 17x9,1
20x10 -> 8x8,1
16x12 -> 9x9,1
7x5 -> 7x5,1
15x16 -> 6x6,1
14x16 -> 5x5,1
15x15 -> 6x6,1
3x3 -> 5x3,1
4x3 -> 5x4,1
4x3 -> 6x3,1
10x16 -> 10x16,1
10x10 -> 5x3,1
10x10 -> 9x2,1
10x10 -> 5x1,1
10x10 -> 3x1,1
10x10 -> 3x2,1
4x3 -> 4x6,1
4x4 -> 4x8,1
7x7 -> 2x3,1
30x30 -> 5x3,1
30x30 -> 3x3,1
3x9 -> 3x7,1
3x11 -> 3x8,1
5x5 -> 1x1,1
5x7 -> 1x1,1
6x6 -> 1x1,1
20x20 -> 2x3,1
10x15 -> 3x2,1
13x15 -> 3x4,1
18x15 -> 2x2,1
7x6 -> 3x2,1
3x12 -> 3x3,1
3x15 -> 3x3,1
12x3 -> 3x3,1
14x14 -> 9x9,1
16x14 -> 9x9,1
5x6 -> 3x3,1
4x8 -> 16x16,1
6x4 -> 6x4,1
10x13 -> 10x13,1
10x18 -> 10x18,1
11x24 -> 11x24,1
12x13 -> 4x4,1
12x11 -> 3x3,1
12x13 -> 5x5,1
15x13 -> 1x1,1
