Dimension,Count,Keys
10x10 -> 10x10,171,"00d62c1b, 11852cab, 1b60fb0c, 1bfc4729, 1caeab9d, 1f642eb9, 1f876c06, 2204b7a8, 22168020, 22233c11, 2281f1f4, 228f6490, 22eb0ac0, 28e73c20, 2bcee788, 2bee17df, 2dd70a9a, 31aa019c, 321b1fc6, 3906de3d, 3befdf3e, 444801d8, 4938f0c2, 56ff96f3, 5c0a986e, 63613498, 694f12f3, 6c434453, 6e19193c, 6e82a1ae, 7ddcd7ec, 8403a5d5, 85c4e7cd, 868de0fa, 8d510a79, 941d9a10, 952a094c, 95990924, a48eeaf7, a699fb00, a78176bb, af902bf9, b230c067, b527c5c6, b6afb2da, bb43febb, d22278a0, d2abd087, d364b489, d43fd935, d4f3cd78, d5d6de2d, d6ad076f, d89b689b, d9f24cd1, db93a21d, dc433765, ddf7fa4f, ded97339, e40b9e2f, e48d4e1a, e5062a87, e76a88a6, e8593010, e9614598, ea32f347, ef135b50, f8c80d96, fcc82909"
3x3 -> 3x3,77,"0d3d703e, 253bf280, 25d8a9c8, 25ff71a9, 3bd67248, 3c9b0459, 5582e5ca, 6150a2bd, 67385a82, 6e02f1e3, 6f8cd79b, 74dd1130, 794b24be, 834ec97d, 9565186b, 99fa7670, 9dfd6313, a5f85a15, a79310a0, a85d4709, aedd82e4, b8cdaf2b, beb8660c, d037b0a7, d23f8c26, d511f180, d90796e8, dc433765, ea786f4a, ed36ccf7, f76d97a5, ff28f65a"
9x9 -> 9x9,32,"08ed6ac7, 0ca9ddb6, 178fcbfb, 1f0c79e5, 23581191, 4258a5f9, 60b61512, 810b9b61, 834ec97d, 88a10436, 8f2ea7aa, a1570a43, a61f2674, aba27056, b60334d2, ce22a75a, ce9e57f2, ec883f72"
15x15 -> 15x15,30,"28e73c20, 2dd70a9a, 3bd67248, 41e4d17e, 543a7ed5, 5521c0d9, 623ea044, 6855a6e4, 810b9b61, 868de0fa, 95990924, 9edfc990, a2fd1cf0, ae3edfdc, d07ae81c, d5d6de2d, db93a21d, f8a8fe49"
12x12 -> 12x12,26,"0962bcdd, 25d487eb, 2bee17df, 44d8ac46, 4c5c2cf0, 508bd3b6, 85c4e7cd, 913fb3ed, a5313dff, c0f76784, c9f8e694, d22278a0, d687bc17, dbc1a6ce, ec883f72, f15e1fac"
5x5 -> 5x5,22,"1e0a9b12, 3618c87e, 54d82841, 68b16354, 834ec97d, 9dfd6313, a699fb00, a79310a0, b8cdaf2b, d23f8c26, d511f180, dc1df850, dc433765, ea786f4a, f76d97a5"
6x6 -> 6x6,21,"00d62c1b, 1e0a9b12, 28e73c20, 67a3c6ac, 67a423a3, 85c4e7cd, 913fb3ed, 93b581b8, 99fa7670, a5f85a15, aba27056, bda2d7a6, bdad9b1f, caa06a1f, ec883f72"
7x7 -> 7x7,21,"05269061, 3aa6fb7a, 3bd67248, 5168d44c, 623ea044, 67a3c6ac, 68b16354, 7f4411dc, a1570a43, a65b410d, aabf363d, aba27056, b8cdaf2b, d22278a0, d90796e8, dc433765, ea786f4a"
20x20 -> 20x20,21,"00d62c1b, 06df4c85, 2dd70a9a, 50846271, 6cf79266, 6d58a25d, 776ffc46, 868de0fa, b527c5c6, b775ac94, db93a21d"
3x3 -> 6x6,20,"46442a0e, 62c24649, 67e8384a, 7fe24cdd, ac0a08a4, b91ae062, c59eb873, d13f3404, f5b8619d"
3x3 -> 9x9,19,"007bbfb7, 4522001f, 91413438, 9172f3a0, ac0a08a4, b91ae062, c3e719e8, cce03e0d"
13x13 -> 13x13,16,"28e73c20, 36d67576, 3e980e27, 4612dd53, 7f4411dc, 9edfc990, ba97ae07, d06dbe63, d22278a0, ecdecbb3"
11x11 -> 11x11,16,"09629e4f, 29623171, 6d0160f0, 868de0fa, b548a754, caa06a1f, dc433765"
16x16 -> 16x16,14,"3345333e, 913fb3ed, 91714a58, 9edfc990, b8825c91, c3f564a4"
8x8 -> 8x8,14,"28e73c20, 54d82841, 67a423a3, 85c4e7cd, a5313dff, a5f85a15, bda2d7a6, caa06a1f, cbded52d, dc1df850, ec883f72"
3x3 -> 1x1,14,"27a28665, 44f52bb0, d631b094"
10x10 -> 3x3,14,"2013d3e2, 23b5c85d, 48d8fb45, 681b3aeb, a3325580, cdecee7f, e50d258f"
9x9 -> 3x3,13,"5614dbcf, 5bd6f4ac, ae4f1146, b0c4d837"
9x4 -> 4x4,12,"6430c8c4, 99b1bc43, ce4f8723"
21x21 -> 21x21,12,"045e512c, 0dfd9992, 73251a56, 890034e9"
